,County,Two-Races,Population,Poverty,Infections,Poverty Rate,Infection Rate
179,GRANT,Non-Caucasian,142.0,36.0,0.0,0.2535211267605634,0.0
180,GRANT,Non-Caucasian,20.0,0.0,0.0,0.0,0.0
181,GRANT,Non-Caucasian,125.0,15.0,0.0,0.12,0.0
182,HENNEPIN,Non-Caucasian,163432.0,44032.0,17231.0,0.2694209212394146,0.10543222869450292
183,HENNEPIN,Non-Caucasian,89753.0,7584.0,7448.0,0.08449856829298186,0.08298329860840306
184,HENNEPIN,Caucasian,852045.0,39390.0,65471.0,0.046229952643346305,0.0768398382714528
185,HENNEPIN,Non-Caucasian,360.0,56.0,0.0,0.15555555555555556,0.0
186,HENNEPIN,Non-Caucasian,87216.0,15113.0,3411.0,0.17328242524307466,0.03910979636763896
187,HENNEPIN,Non-Caucasian,6801.0,2676.0,707.0,0.3934715483017203,0.10395530069107484
188,HENNEPIN,Non-Caucasian,55689.0,16413.0,1858.0,0.29472606798470075,0.03336386000826016
